नारियल,coconut
चाहिए,must
लेना,take
स्थान,spot
किशमिश,raisin
एक्टिनोमाइसेस,actinomyces
पकड़,hold
वर्तमान,current
अंग,organ
बछड़ा,calf
कनेक्ट,connect
कर,make
अठारह,eighteen
अंगूठी,ring
छेद,hole
एक,one
कपास,cotton
रेलगाड़ी,train
सच,true
बार,bar
सीखना,learn
घोड़ा,horse
मतलब,mean
भीड़,crowd
अमेरिका,america
चार,four
बारिश,rain
सुनना,hear
शनिवार,saturday
सोलह,sixteen
तत्व,element
मिस्र,egypt
जैसा,as
मांस,meat
पंद्रह,fifteen
मौसम,season
दिमाग,brain
भाषण,speech
शिक्षक,teacher
होना,happen
अपार्टमेंट,apartment
समझना,comprehension
स्थिति,status
लकड़ी,wood
मुस्लिम,muslim
स्कूल,school
प्रकाश,light
अंतिम,final
समस्या,problem
कूद,jump
बताया,told
घटित,occur
तय,decide
विस्तृत,broad
वही,same
सुबह,morning
सवाल,question
दृष्टि,sight
रेल,rail
चार्ट,chart
आवाज,voice
सादा,plain
ऑर्ट्स,arts
कई,many
अखबार,newspaper
बराबर,equal
पूर्व,east
प्रारंभ,begin
पुरोबंध,foreclosure
दांत,teeth
गिनती,count
सदी,century
बच्चा,kid
गरम,hot
खिड़की,window
अधिक,more
अंडा,egg
पदार्थ,substance
सही,right
अनुभव,experience
ध्वनि,sound
पाँचवाँ,fifth
सिवाय,except
घटाना,subtract
पाउंड,pound
दीवारों,walls
आशाएँ,hopes
क्या,what
गाय,cow
सीरिया,syria
भारी,heavy
पिता,father
था,had
पशु,animal
क्लास,class
अच्छा,good
बकरा,goat
शायद,perhaps
प्रवाह,flow
सत्रहवीं,seventeenth
सिकोड़ना,compress
टीम,team
मूल,original
अब,now
सात,seven
विवाह,marriage
जहां,where
कवर,cover
नौ,nine
पार्टी,party
शरीर,body
उसे,him
वस्तु,object
कुछ,some
उत्तेजित,excite
कोट,coat
सांड,bull
या,or
बुधवार,wednesday
छोड़ा,left
हलका,light
आठ,eight
पाल,sail
तारा,star
सज़ा,punishment
चयन,choose
दूर,distant
खुश,happy
मुख्य,main
कागज,paper
उच्च,high
लोहार,blacksmith
हवा,wind
गया,been
छात्र,student
चाहिए,should
स्टील,steel
शुरुआत,start
निचोड़ना,squeeze
विभिन्न,various
असभ्य,uncivilized
रोल,roll
महिला,woman
विस्तृत,thorough
नींबू,lemon
लड़का,boy
घर,house
गुनाह,sin
छाती,chest
कठोर,harsh
प्रस्ताव,offer
सुना,heard
काम,job
मास्टर,master
नकल,copy
भाई,brother
बचा,save
विकसित,develop
दुकानदार,shopkeeper
दोहराना,repeat
पहला,first
अंग्रेजी,english
रेत,sand
बातूनी,talkative
सूखा,dry
भेजें,send
सिखाना,teach
सूची,list
प्रदान,provide
आवश्यकता,requirement
आवश्यकताओं,requirements
सही,correct
दोनों,both
ताजा,fresh
नीचे,down
मेला,fair
इंदौर,indore
उन,those
दबाना,press
नाच,dance
ऊपर,up
चरित्र,character
फिट,fit
समाधान,solution
बच्चे,baby
उत्साह,enthusiasm
बुरा,bad
हिस्सा,part
मर्द,man
मुस्कान,smile
लाया,brought
ठंड,cold
झील,lake
वार्ता,talk
यहाँ,here
गर्दन,neck
सिर,head
अपराधी,criminal
कस,tighten
गूंज,echo
भेड़ी,ewe
अगला,next
आगे,forward
भिवंडी,bhiwandi
मुजरिम,criminal
विशेष,particular
अपराध,crime
टोरंटो,toronto
दांत,tooth
चिल्लाओ,shout
भारी,huge
प्रसन्न,glad
सामग्री,material
कुत्ता,dog
तरह,kind
कारण,reason
एशिया,asia
प्रयोग,experiment
कविता,poem
माता,mother
लाल,red
तकिये,pillows
कुंजी,key
चित्र,drawing
मुँह,mouth
शर्मा,sharma
दिया,gave
जोर,loud
पक्ष,side
विषय,subject
तस्वीर,photo
सीट,seat
छड़ी,stick
किया,did
चीनी,sugar
सकते,can
यात्रा,travel
मेरे,my
वहाँ,there
विधि,method
ख़ुशी,happiness
अठारहवीं,eighteenth
भाषा,language
फेंक,throw
बांदीपुरा,bandipore
बेहतर,better
धर्म,religion
नेतृत्व,lead
नीलबदरी,blueberry
अनार,pomegranate
प्रमुख,major
काफी,quite
बिजली,electric
चौथाई,quarter
लेकिन,but
आदित्य,aditya
टाई,tie
आ,come
लिखित,written
मर्दाना,manly
कठिन,hard
केला,banana
सरल,simple
नाक,nose
पकड़,catch
उम्मीद,expect
शुक्रवार,friday
मुसीबत,trouble
प्रत्यय,suffix
उचित,proper
खिलाफ,against
धीमी,slow
सोचा,thought
आंकड़ा,figure
अनुमान,guess
पहनना,wear
धोने,wash
गंगा,ganga
सुविधा,convenience
भी,too
मांसपेशी,muscle
चाकू,knife
रास्ता,way
नारंगी,orange
फ्रांस,france
संयोग,chance
दूर,far
रखा,kept
तत्काल,tatkal
इंतजार,wait
गर्मियों,summer
उज्ज्वल,bright
स्टेशन,station
युवा,young
में,in
धारा,stream
कैच,catch
प्रिंट,print
भरने,fill
जला,burn
कम,less
वॉलीबाल,volleyball
सोना,gold
नॉएडा,noida
बेटी,daughter
प्रणाली,system
प्रतिशत,percent
मूल्य,value
बल,force
यमुना,yamuna
समय,time
अलग,different
नीला,blue
इंग्लैंड,england
झूठ,lie
तीसरे,third
गैस,gas
ग्रह,planet
हमारे,our
ड्रॉप,drop
ट्रक,truck
उठाना,raise
हां,yes
आधार,base
आधार,aadhar
खोज,search
नई,new
जंगल,jungle
मीडिया,media
नीचे,under
पैमाने,scale
बतख,duck
पल,moment
पूछना,ask
सुनीता,suneeta
सवारी,ride
उत्तर,reply
कोप,wrath
अमरूद,guava
एहसान,favor
वैंकोवर,vancouver
क्रिया,verb
सामान्य,general
मौसम,weather
गोदावरी,godavari
मंदिर,shrine
मौत,death
प्रभाव,effect
इतिहास,history
आवश्यक,necessary
सतह,surface
भिवाड़ी,bhiwadi
मछली,fish
हरा,beat
फ़ीड,feed
बढ़ी,grew
बैठना,sit
डॉलर,dollar
करेगा,shall
गुरुवार,thursday
बाकी,else
होशियार,smart
साबित,prove
बता,tell
बहुवचन,plural
विपरीत,opposite
रोना,cry
कर्मी,workers
देखो,look
महाद्वीप,continent
गुणा,multiply
आकार,shape
खेल,game
कुछ,few
रॉक,rock
विमान,plane
वर्तमान,present
आम,mango
घटिया,lousy
शादी,wedding
क्यों,why
शर्त,condition
स्थिर,stable
धक्का,push
यहूदी,jew
दौड़,run
दुश्मन,enemy
आधा,half
भोजन,food
सुंदरता,beauty
रहना,stay
तीन,three
पिता,dad
लड़ाई,fight
बहन,sister
पूर्ण,full
कंधे,shoulders
खुद,own
राजा,king
उन्हें,them
अध्ययन,study
स्पर्श,touch
बाजार,market
याद,remember
स्थिति,position
राज्य,state
टेनिस,tennis
सत्रह,seventeen
उनके,their
शीर्ष,top
फ़ुटबॉल,football
लोग,people
पुराना,old
शेयर,share
छोटे,tiny
रखना,keep
जैसा,like
मिश्रण,mixture
मामले,case
आक्षेपक,convulsant
देख,see
छाती,breast
जाँच,check
त्रिकोण,triangle
डाल,put
पहले,before
अवधि,term
पेय,drink
हम,us
मात्र,only
अंक,numeral
ट्यूब,tube
मामला,matter
आश्चर्य,wonder
पाया,found
मिनट,minute
खुला,open
प्यार,love
पल,instant
चलना,walk
शिकार,prey
गेंद,ball
वाक्य,sentence
कर,do
वह,she
कथावस्तु,plot
स्कोर,score
मैं,i
हर्ष,joy
त्वरित,quick
विद्यालय,vidyalaya
पिछले,last
कभी,ever
उन्नीस,nineteen
भागफल,quotient
नुकीला,pointed
जन्म,born
कुक,cook
बिल्ली,cat
धन,money
ग्रे,gray
अधिनियम,act
मई,may
लिखना,write
चाहत,want
हवा,air
पहले,ago
चयन,selection
पंद्रहवीं,fifteenth
गुस्सा,anger
सूरज,sun
सच्ची,sachchi
रानी,queen
समझ,understand
खेलने,play
वर्ष,year
जीवन,life
अन्य,other
अगर,if
अपरिष्कृत,crude
कांच,glass
कपड़े,clothes
हत्या,kill
धन्यवाद,thanks
गिरावट,fall
चमक,shine
कहानी,story
पैर,leg
हरदोई,hardoi
तेजी,fast
बच्चों,children
रास्ता,path
यकीनन,precisely
संपत्ति,property
सप्ताह,week
तरबूज,watermelon
सूट,suit
क्षेत्र,field
क्योंकि,because
आकाशगंगा,galaxy
उत्पादन,produce
पेड़,tree
वृद्धि,rise
ऑक्सीजन,oxygen
खींच,pull
यार्ड,yard
बुनियादी,basic
आश्चर्य,surprise
गला,throat
मशीन,machine
सोलहवीं,sixteenth
योजना,plan
शाखा,branch
सागरतल,seabed
बर्फ,ice
है,has
पुरुषों,men
तापमान,temperature
खरीद,buy
खड़ा,stand
दीवारों,diwaron
उन्नीसवीं,nineteenth
रखना,lay
हाथ,hand
भावना,sense
खोया,lost
सोमवार,monday
इराक,iraq
बीएचके,bhk
बांग्लादेश,bangladesh
तैयार,ready
नियम,rule
रेखा,line
तट,coast
तुलना,compare
मुक्त,free
अधिकतम,maximum
देखना,seeing
शिकारी,hunter
पढ़ा,read
आकर्षित,draw
प्रस्ताव,proposal
अधिक,over
राग,melody
कोने,corner
मक्खी,fly
मां,mom
तेल,oil
आठवाँ,eighth
बात,spoke
बैंक,bank
चोर,thief
होटल,hotel
जगह,stead
विभाजन,divide
तेलुगु,telugu
ईरान,iran
होगा,will
पत्थर,stone
सेक्स,sex
जमीन,ground
क्रीज,crease
उत्तर,north
दुकान,shop
पैर,feet
पेज,page
बहुत,very
पठार,plateau
सक्षम,able
प्रकट,appear
सीमा,range
इच्छुक,willing
असली,real
तंदुरूस्त,healthy
रोगी,patient
बारह,twelve
झुकाव,inclination
मीरपुर,mirpur
पहाड़ी,mountainous
चट्टान,rock
खड़ी,steep
यात्रा,journey
चला,went
बुखार,fever
चेहरा,face
हालांकि,though
बल्ला,bat
चाल,move
सुझाव,suggestion
था,was
अभ्यास,practice
विस्तृत,wide
भैंस,buffalo
उपरांत,after
लड़की,girl
शासन,govern
ऊर्जा,energy
पाठशाला,school
न्यूनतम,minimum
खिंचाव,stretch
मोतीझील,motijheel
चादर,bedsheets
टहलना,walk
खोल,shell
मस्जिद,mosque
आदमी,man
सेल,cell
शीघ्र,early
विज्ञान,science
समर्थन,support
पानी,water
बीच,middle
देखभाल,care
रकम,amount
गंगा,ganges
घेराबंदी,siege
दीपक,deepak
क्षेत्र,region
मुंबई,mumbai
हैं,are
जड़,root
महिलाओं,women
स्पेन,spain
संख्या,number
बाहर,out
जबकि,while
व्यंजन,consonant
काला,black
अस्थायी,temporary
कॉलोनी,colony
परिवर्तन,change
ग्यारहवीं,eleventh
होंठ,lip
आधुनिक,modern
त्वचा,skin
पर्याप्त,enough
कनाडा,canada
साफ,clean
तो,so
सामूहिक,mass
महान,great
फल,fruit
पर्याप्त,sufficient
व्यायाम,exercise
दुकान,store
सड़क,road
वाक्यांश,phrase
बेल,bell
बर्फ,snow
आम,common
तंज,comment
क्रिकेटिंग,cricketing
रंग,color
अंगूठा,thumb
पक्षी,bird
मिस,miss
बॉक्स,box
उंगली,finger
रविवार,sunday
सूअर,pig
शामिल,include
निरीक्षण,observe
दस,ten
घंटे,hour
बड़ा,big
गांव,village
ड्राइव,drive
द्वारा,through
निकट,near
डिजाइन,design
द्वारा,by
मत,dont
फूल,flower
रक्षा,protect
भूमि,land
प्रक्रिया,process
धातु,metal
हाथी,elephant
और,and
छोटे,small
व्यक्ति,person
दक्षिण,south
खेल,sports
करीब,close
हल,solution
बाकी,rest
परिणाम,result
झटका,jerk
कमरे,room
कला,art
मराठी,marathi
सेवा,serve
एक,an
की,of
शाम,evening
बगीचा,garden
नोटिस,notice
मंज़िल,destination
सुनो,listen
यज्ञ,yagya
देखा,saw
संयंत्र,plant
डिग्री,degree
बंदरगाह,port
चर्चा,discuss
पुलिस,police
फिर,again
पोशाक,dress
पहाड़,mountain
सेब,apple
तेरहवीं,thirteenth
कार्यालय,office
बीसवीं,twentieth
अनानास,pineapple
बांह,arm
गर्म,warm
लगा,felt
निष्पक्ष,unbiased
जीभ,tongue
पैर,foot
सफलता,success
मिला,got
मकई,corn
नरेन्द्र,narendra
उसके,his
बारी,turn
रगड़,rub
दो,two
छह,six
कहा,said
कि,that
अंधेरा,dark
पूंछ,tail
मिलो,meet
प्राप्त,get
द्वारका,dwarka
सागर,sea
पाकिस्तान,pakistan
हम,we
दसवाँ,tenth
आँख,eye
रिकॉर्ड,record
आत्म,self
तुच्छ,paltry
गाना,song
वह,he
तक,till
स्मारक,statue
जंगली,wild
पता,know
चौदहवीं,fourteenth
सफेद,white
आविष्कार,invention
डरावना,scary
मनीश,maneesh
घड़ी,watch
बिजली,power
आदेश,order
ऐसा,such
उत्पाद,product
भुगतान,pay
दर्ज,enter
अंगूर,grapes
पूरे,whole
किताब,book
मज़ा,fun
शांत,quiet
हिंदी,hindi
महारानी,maharani
देर,late
मोदी,modi
गरीब,poor
छोड़,leave
गलत,wrong
कदम,step
बीज,seed
गायक,singer
तालिका,table
अतीत,past
बल्कि,rather
संज्ञा,noun
तेज़,sharp
प्रत्यक्ष,direct
कम,short
कपड़ा,cloth
उसके,her
ऊपर,above
तरल,liquid
मजबूत,strong
स्वर,tone
घटना,event
नाशपाती,pear
तस्वीर,picture
कंधा,shoulder
ईसाई,christian
महासागर,mahasagar
चौथा,fourth
पढाई,study
डबल,double
रस्सी,rope
लंबाई,length
जगह,place
फ्लैट,apartment
इस,this
वन,forest
तमिल,tamil
अलग,separate
साथ,with
खंड,block
जोड़,add
संकेत,indication
वृत्त,circle
फ़ुटबॉलर,footballer
बंद,off
कंपनी,company
गंध,smell
प्राकृतिक,natural
मूर्ख,dumb
कह,say
सामने,front
पहले,first
आयोजित,held
अंश,fraction
बैंड,band
कौन,who
गिर,fall
आंख,eye
युद्ध,war
सागर,ocean
कुत्ते,dogs
यात्रा,trip
अजीब,strange
खजूर,dates
पृथ्वी,earth
कम,low
पहाड़ी,hill
भेड़,sheep
ब्याज,interest
स्तर,level
बुद्धिमान,intelligent
बेचने,sell
बुद्धि,intelligence
सैनिक,soldier
शहर,city
अनुबंध,contract
रोहन,rohan
स्पष्ट,clear
चिकित्सक,doctor
मुलायम,soft
मुझे,me
बनाना,build
रह,stay
गए,went
लागत,cost
चौदह,fourteen
क्रोधित,outraged
भालू,bear
पहुंचना,arrive
कुरसी,chair
बढ़ने,grow
खत्म,finish
टीले,mounds
वजन,weight
पाठशाला,paathshala
नौवाँ,ninth
भाप,steam
संबंध,relation
संबंधों,relations
संबंधी,relative
नमस्कार,hello
उतावला,enthusiastic
विक्रेता,vendor
प्रदायक,supplier
भारत,india
रूस,russia
हेलो,hello
सांप्रदायिक,communal
सांप्रदायक,communal
सूखा,famine
अकाल,dearth
कमी,scarcity
पागल,mad
प्रचुर,plentiful
पर्याप्त,ample
अत्यंत,enough
चाय,tea
बेहद,unlimited
गांड,ass
अर्जेन्टीना,argentina
ऑस्ट्रेलिया,australia
ऑस्ट्रेलियाई,australian
न्यूजीलैंड,newzealand
चीन,china
जापान,japan
